GROUP,ID,GENDER,AGE,INSTRUMENT_PLAYED,YEARS_MUSIC_TRAINING,MUSICAL_GENRE,COMPLEXITY,TEMPO,DRUMMER_EXPRESSIVENESS,DRUMMER_STYLE,MODALITY,perceived_expressiveness,emotional_valence,neutral,happiness,sadness,anger,fear,disgust,surprise
non-musician,1,female,24,none,0,heavy_metal,simple,slow,expressive,close,audiovideo,5,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,simple,slow,expressive,close,video,7,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,neutral,open,audio,4,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,neutral,open,audiovideo,5,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,neutral,open,video,6,1,0,0,1,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,neutral,close,audio,4,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,neutral,close,audiovideo,7,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,neutral,close,video,3,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,expressive,open,audio,7,1,0,1,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,expressive,open,audiovideo,7,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,simple,fast,expressive,open,video,7,1,0,1,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,expressive,close,audio,7,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,expressive,close,audiovideo,7,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,simple,fast,expressive,close,video,7,1,0,0,0,1,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,neutral,open,audio,5,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,neutral,open,audiovideo,6,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,neutral,open,video,4,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,neutral,close,audio,4,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,neutral,close,audiovideo,3,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,fast,neutral,close,video,6,1,1,0,0,0,0,0,0
non-musician,2,female,43,none,0,jazz,complex,slow,expressive,open,audio,5,1,1,0,0,0,0,0,0
non-musician,2,female,43,none,0,jazz,complex,slow,expressive,open,audiovideo,2,0,0,0,1,0,0,0,0
non-musician,2,female,43,none,0,jazz,complex,slow,expressive,open,video,1,0,0,0,1,0,0,0,0
non-musician,2,female,43,none,0,jazz,complex,slow,expressive,close,audio,3,0,0,0,1,0,0,0,0
non-musician,2,female,43,none,0,jazz,complex,slow,expressive,close,audiovideo,2,0,0,0,1,0,0,0,0
non-musician,2,female,43,none,0,jazz,complex,slow,expressive,close,video,3,0,0,0,1,0,0,0,0
non-musician,2,female,43,none,0,jazz,complex,slow,neutral,open,audio,6,1,0,1,0,0,0,0,0
